"word","form","level"
"colleague","n.","A2"
"collect","v.","A2"
"collection","n.","B1"
"collective","adj.","C1"
"collector","n.","B2"
"college","n.","A1"
"collision","n.","C1"
"colonial","adj.","C1"
"colony","n.","B2"
"colour","n.","A1"
"coloured","adj.","B1"
"colourful","adj.","B2"
"column","n.","A2"
"columnist","n.","C1"
"combat","n.","C1"
"combat","v.","C1"
"combination","n.","B2"
"combine","v.","B1"
"come","v.","A1"
"comedy","n.","A2"
"comfort","n.","B2"
"comfort","v.","B2"
"comfortable","adj.","A2"
"comic","adj.","B2"
"comic","n.","B2"
"command","n.","B2"
"command","v.","B2"
"commander","n.","B2"
"commence","v.","C1"
"comment","n.","A2"
"comment","v.","B1"
"commentary","n.","C1"
"commentator","n.","C1"
"commerce","n.","C1"
"commercial","adj.","B1"
"commercial","n.","B1"
"commission","n.","B2"
"commission","v.","B2"
"commissioner","n.","C1"
"commit","v.","B1"
"commitment","n.","B2"
"committee","n.","B2"
"commodity","n.","C1"
"common","adj.","A1"
"common","n.","A1"
"commonly","adv.","B2"
"communicate","v.","A2"
"communication","n.","B1"
"communist","adj.","C1"
"community","n.","A2"
"company","n.","A1"
"companion","n.","C1"
"comparable","adj.","C1"
"compare","v.","A1"
"comparative","adj.","B2"
"comparison","n.","B1"
"compassion","n.","C1"
"compel","v.","C1"
"compelling","adj.","C1"
"compensate","v.","C1"
"compensation","n.","C1"
"compete","v.","A2"
"competence","n.","C1"
"competent","adj.","C1"
"competition","n.","A2"
"competitive","adj.","B1"
"competitor","n.","B1"
"compile","v.","C1"
"complain","v.","A2"
"complaint","n.","B1"
"complement","v.","C1"
"complete","adj.","A1"
"complete","v.","A1"
"completely","adv.","A2"
"completion","n.","B2"
"complex","adj.","B1"
"complex","n.","B2"
"complexity","n.","C1"
"compliance","n.","C1"
"complicated","adj.","B2"
"complication","n.","C1"
"comply","v.","C1"
"component","n.","B2"
"compose","v.","B2"
"composer","n.","B2"
"composition","n.","C1"
"compound","n.","B2"
"comprehensive","adj.","B2"
"comprise","v.","B2"
"compromise","n.","C1"
"compromise","v.","C1"
"compulsory","adj.","B2"
"compute","v.","C1"
"computer","n.","A1"
"conceal","v.","C1"
"concede","v.","C1"
"conceive","v.","C1"
"concentrate","v.","B1"
"concentration","n.","B2"
"concept","n.","B2"
"conception","n.","C1"
"concern","n.","B2"
"concern","v.","B2"
"concerned","adj.","B2"
"concert","n.","A1"
"concession","n.","C1"
"conclude","v.","B1"
"conclusion","n.","B1"
"concrete","adj.","B2"
"concrete","n.","B2"
"condemn","v.","C1"
"condition","n.","A2"
"conduct","n.","B2"
"conduct","v.","B2"
"confer","v.","C1"
"conference","n.","A2"
"confidence","n.","B2"
"confident","adj.","B1"
"confine","v.","C1"
"confirmation","n.","C1"
"confirm","v.","B1"
"conflict","n.","B2"
"conflict","v.","B2"
"confront","v.","C1"
"confrontation","n.","C1"
"confuse","v.","B1"
"confused","adj.","B1"
"confusing","adj.","B2"
"confusion","n.","B2"
"congratulate","v.","C1"
"congregation","n.","C1"
"congressional","adj.","C1"
"connect","v.","A2"
"connected","adj.","A2"
"connection","n.","B1"
"conquer","v.","C1"
"conscience","n.","C1"
"conscious","adj.","B2"
"consciousness","n.","C1"
"consecutive","adj.","C1"
"consensus","n.","C1"
"consent","n.","C1"
"consent","v.","C1"
"consequence","n.","B1"
"conservation","n.","B2"
"conservative","adj.","B2"
"conservative","n.","B2"
"conserve","v.","C1"
"consider","v.","A2"
"considerable","adj.","B2"
"considerably","adv.","B2"
"consideration","n.","B2"
"consist","v.","B1"
"consistency","n.","C1"
"consistent","adj.","B2"
"consistently","adv.","B2"
"consolidate","v.","C1"
"conspiracy","n.","B2"
"constant","adj.","B2"
"constantly","adv.","B2"
"constituency","n.","C1"
"constitute","v.","C1"
"constitution","n.","C1"
"constitutional","adj.","C1"
"construct","v.","B2"
"construction","n.","B2"
"constraint","n.","C1"
"consult","v.","B2"
"consultant","n.","B2"
"consultation","n.","C1"
"consume","v.","B1"
"consumer","n.","B1"
"consumption","n.","B2"
"contact","n.","B1"
"contact","v.","B1"
"contain","v.","A2"
"container","n.","B1"
"contemplate","v.","C1"
"contemporary","adj.","B2"
"contempt","n.","C1"
"contend","v.","C1"
"contender","n.","C1"
"content¹","n.","B1"
"content²","adj.","C1"
"contention","n.","C1"
"contest","n.","B2"
"contest","v.","B2"
"context","n.","A2"
"continent","n.","A2"
"continually","adv.","C1"
"continue","v.","A2"
"continuous","adj.","B1"
"contract","n.","B2"
"contract","v.","B2"
"contractor","n.","C1"
"contradiction","n.","C1"
"contrary","adj.","C1"
"contrary","n.","C1"
"contrast","n.","B1"
"contrast","v.","B1"
"contribute","v.","B2"
"contribution","n.","B2"
"contributor","n.","C1"
"control","n.","A2"
"control","v.","A2"
"controversial","adj.","B2"
"controversy","n.","B2"
"convenience","n.","B2"
"convenient","adj.","B1"
"convention","n.","B2"
"conventional","adj.","B2"
"conversation","n.","A1"
"conversion","n.","C1"
